Date,Open,High,Low,Close,High_Last_7_Days,Days_Since_High_Last_7_Days,%_Diff_From_High_Last_7_Days,Low_Last_7_Days,Days_Since_Low_Last_7_Days,%_Diff_From_Low_Last_7_Days,High_Next_5_Days,%_Diff_From_High_Next_5_Days,Low_Next_5_Days,%_Diff_From_Low_Next_5_Days
16-01-2024,41800.93282,42587.33604,41800.93282,42587.33604,46936.18556,-285,-9.265451529,41800.93282,-285,1.881305424,43148.00164,-1.299401093,41261.3948,3.213515313
17-01-2024,42587.33604,43148.00164,42587.33604,43148.00164,46632.31315,-284,-7.471882198,41800.93282,-284,3.222580767,43148.00164,0,41261.3948,4.572329304
18-01-2024,43148.00164,43148.00164,42713.85919,42713.85919,46632.31315,-283,-8.402872808,41800.93282,-283,2.183985628,42713.85919,0,39504.73006,8.123404779
19-01-2024,42713.85919,42713.85919,41261.3948,41261.3948,46314.35554,-282,-10.91013938,41261.3948,-282,0,41626.10711,-0.876162431,39504.73006,4.44672002
20-01-2024,41261.3948,41600.94093,41261.3948,41600.94093,43148.00164,-281,-3.585474766,41261.3948,-281,0.822914824,41626.10711,-0.060457677,39504.73006,5.306227563
21-01-2024,41600.94093,41626.10711,41600.94093,41626.10711,43148.00164,-280,-3.527149521,41261.3948,-280,0.883906891,41626.10711,0,39504.73006,5.369931776
22-01-2024,41626.10711,41626.10711,41541.89946,41541.89946,43148.00164,-279,-3.722309551,41261.3948,-279,0.679823502,41862.93561,-0.766874442,39504.73006,5.15677337
23-01-2024,41541.89946,41541.89946,39504.73006,39504.73006,43148.00164,-278,-8.443662388,39504.73006,-278,0,42119.61049,-6.20822559,39504.73006,0
24-01-2024,39504.73006,39833.45411,39504.73006,39833.45411,43148.00164,-277,-7.681810077,39504.73006,-277,0.832113134,42119.61049,-5.427771916,39833.45411,0
25-01-2024,39833.45411,40123.67106,39833.45411,40123.67106,42713.85919,-276,-6.064046138,39504.73006,-276,1.566751627,43267.60928,-7.266262848,39938.28644,0.464177694
26-01-2024,40123.67106,40123.67106,39938.28644,39938.28644,41626.10711,-275,-4.054716585,39504.73006,-275,1.097479677,43267.60928,-7.694723352,39938.28644,0
27-01-2024,39938.28644,41862.93561,39938.28644,41862.93561,41862.93561,-274,0,39504.73006,-274,5.969425813,43267.60928,-3.246478576,41862.93561,0
28-01-2024,41862.93561,42119.61049,41862.93561,42119.61049,42119.61049,-273,0,39504.73006,-273,6.619157841,43267.60928,-2.653252169,42026.57856,0.221364516
29-01-2024,42119.61049,42119.61049,42026.57856,42026.57856,42119.61049,-272,-0.220875576,39504.73006,-272,6.383662162,43267.60928,-2.868267359,42026.57856,0
30-01-2024,42026.57856,43267.60928,42026.57856,43267.60928,43267.60928,-271,0,39504.73006,-271,9.525135885,43267.60928,0,42583.26355,1.607076754
31-01-2024,43267.60928,43267.60928,42892.03453,42892.03453,43267.60928,-270,-0.868027498,39833.45411,-270,7.678421302,43170.65856,-0.645401392,42583.26355,0.725099388
01-02-2024,42892.03453,42892.03453,42583.26355,42583.26355,43267.60928,-269,-1.581658292,39938.28644,-269,6.622660461,43170.65856,-1.360634826,42583.26355,0
02-02-2024,42583.26355,43069.04342,42583.26355,43069.04342,43267.60928,-268,-0.458924953,39938.28644,-268,7.838986743,43170.65856,-0.235380103,42599.35997,1.102559876
03-02-2024,43069.04342,43170.65856,43069.04342,43170.65856,43267.60928,-267,-0.224072271,41862.93561,-267,3.123820467,44247.41542,-2.433490959,42599.35997,1.341096654
04-02-2024,43170.65856,43170.65856,42976.8483,42976.8483,43267.60928,-266,-0.672006107,42026.57856,-266,2.261116108,45338.27119,-5.208453759,42599.35997,0.886136152
05-02-2024,42976.8483,42976.8483,42599.35997,42599.35997,43267.60928,-265,-1.544456273,42026.57856,-265,1.362902782,47143.24299,-9.638460853,42599.35997,0
06-02-2024,42599.35997,42648.45692,42599.35997,42648.45692,43267.60928,-264,-1.430983513,42583.26355,-264,0.153096238,47768.99525,-10.71937625,42648.45692,0
07-02-2024,42648.45692,43087.78741,42648.45692,43087.78741,43170.65856,-263,-0.191961754,42583.26355,-263,1.184793789,48189.88179,-10.5874806,43087.78741,0
08-02-2024,43087.78741,44247.41542,43087.78741,44247.41542,44247.41542,-262,0,42583.26355,-262,3.907995138,50050.13609,-11.59381599,44247.41542,0
09-02-2024,44247.41542,45338.27119,44247.41542,45338.27119,45338.27119,-261,0,42599.35997,-261,6.429465657,50050.13609,-9.414289895,45338.27119,0
10-02-2024,45338.27119,47143.24299,45338.27119,47143.24299,47143.24299,-260,0,42599.35997,-260,10.66655232,51790.1693,-8.972603043,47143.24299,0
11-02-2024,47143.24299,47768.99525,47143.24299,47768.99525,47768.99525,-259,0,42599.35997,-259,12.13547641,51958.23029,-8.062697702,47768.99525,0
12-02-2024,47768.99525,48189.88179,47768.99525,48189.88179,48189.88179,-258,0,42599.35997,-258,13.12348783,52166.43431,-7.62281833,48189.88179,0
13-02-2024,48189.88179,50050.13609,48189.88179,50050.13609,50050.13609,-257,0,42648.45692,-257,17.35509256,52166.43431,-4.05681976,49732.14537,0.639406812
14-02-2024,50050.13609,50050.13609,49732.14537,49732.14537,50050.13609,-256,-0.635344376,43087.78741,-256,15.42051324,52166.43431,-4.66638936,49732.14537,0
15-02-2024,49732.14537,51790.1693,49732.14537,51790.1693,51790.1693,-255,0,44247.41542,-255,17.04676716,52166.43431,-0.721277997,51684.51749,0.204416738
16-02-2024,51790.1693,51958.23029,51790.1693,51958.23029,51958.23029,-254,0,45338.27119,-254,14.60126054,52286.79373,-0.628387038,51684.51749,0.529583735
17-02-2024,51958.23029,52166.43431,51958.23029,52166.43431,52166.43431,-253,0,47143.24299,-253,10.6551671,52286.79373,-0.230190852,51684.51749,0.932420076
18-02-2024,52166.43431,52166.43431,51684.51749,51684.51749,52166.43431,-252,-0.92380632,47768.99525,-252,8.196785846,52286.79373,-1.151870654,51319.50013,0.711264463
19-02-2024,51684.51749,52138.48579,51684.51749,52138.48579,52166.43431,-251,-0.053575678,48189.88179,-251,8.193844535,52286.79373,-0.283643204,50841.08109,2.551882584
20-02-2024,52138.48579,52138.48579,51764.31319,51764.31319,52166.43431,-250,-0.770842649,49732.14537,-250,4.086225923,52286.79373,-0.999259092,50841.08109,1.815917504
21-02-2024,51764.31319,52286.79373,51764.31319,52286.79373,52286.79373,-249,0,49732.14537,-249,5.136815106,52286.79373,0,50841.08109,2.843591441
22-02-2024,52286.79373,52286.79373,51842.75677,51842.75677,52286.79373,-248,-0.849233483,51684.51749,-248,0.306163782,54478.19108,-4.837595127,50841.08109,1.970209228
23-02-2024,51842.75677,51842.75677,51319.50013,51319.50013,52286.79373,-247,-1.849976889,51319.50013,-247,0,57003.52674,-9.971359558,50841.08109,0.941008768
24-02-2024,51319.50013,51319.50013,50841.08109,50841.08109,52286.79373,-246,-2.764967074,50841.08109,-246,0,62558.58202,-18.73044521,50841.08109,0
25-02-2024,50841.08109,51553.09671,50841.08109,51553.09671,52286.79373,-245,-1.403216683,50841.08109,-245,1.400473009,62558.58202,-17.59228703,51553.09671,0
26-02-2024,51553.09671,51751.88405,51553.09671,51751.88405,52286.79373,-244,-1.023030162,50841.08109,-244,1.791470481,62558.58202,-17.27452512,51751.88405,0
27-02-2024,51751.88405,54478.19108,51751.88405,54478.19108,54478.19108,-243,0,50841.08109,-243,7.15388011,62558.58202,-12.91651869,54478.19108,0
28-02-2024,54478.19108,57003.52674,54478.19108,57003.52674,57003.52674,-242,0,50841.08109,-242,12.12099647,63053.10544,-9.594418323,57003.52674,0
29-02-2024,57003.52674,62558.58202,57003.52674,62558.58202,62558.58202,-241,0,50841.08109,-241,23.04730875,68186.64593,-8.2539093,61298.21686,2.056120435
01-03-2024,62558.58202,62558.58202,61298.21686,61298.21686,62558.58202,-240,-2.014695862,50841.08109,-240,20.56827971,68186.64593,-10.10231399,61298.21686,0
02-03-2024,61298.21686,62426.64053,61298.21686,62426.64053,62558.58202,-239,-0.210908705,50841.08109,-239,22.78779126,68186.64593,-8.447409791,62067.8668,0.57803457
03-03-2024,62426.64053,62426.64053,62067.8668,62067.8668,62558.58202,-238,-0.784409119,51553.09671,-238,20.39600094,68186.64593,-8.973574002,62067.8668,0
04-03-2024,62067.8668,63053.10544,62067.8668,63053.10544,63053.10544,-237,0,51751.88405,-237,21.83731393,68315.25192,-7.70274036,63053.10544,0
05-03-2024,63053.10544,68186.64593,63053.10544,68186.64593,68186.64593,-236,0,54478.19108,-236,25.16319756,68508.00396,-0.469080997,64291.53656,6.058510319
06-03-2024,68186.64593,68186.64593,64291.53656,64291.53656,68186.64593,-235,-5.712422606,57003.52674,-235,12.78519109,69075.66688,-6.925927089,64291.53656,0
07-03-2024,64291.53656,66145.91928,64291.53656,66145.91928,68186.64593,-234,-2.992853847,61298.21686,-234,7.908390595,72130.55301,-8.296946966,66145.91928,0
08-03-2024,66145.91928,66944.87639,66145.91928,66944.87639,68186.64593,-233,-1.821133049,61298.21686,-233,9.21178432,72130.55301,-7.189292749,66944.87639,0
09-03-2024,66944.87639,68315.25192,66944.87639,68315.25192,68315.25192,-232,0,62067.8668,-232,10.06540975,73097.76703,-6.542628182,68315.25192,0
10-03-2024,68315.25192,68508.00396,68315.25192,68508.00396,68508.00396,-231,0,62067.8668,-231,10.37596021,73097.76703,-6.278937444,68508.00396,0
11-03-2024,68508.00396,69075.66688,68508.00396,69075.66688,69075.66688,-230,0,63053.10544,-230,9.551569904,73097.76703,-5.50235706,69075.66688,0
12-03-2024,69075.66688,72130.55301,69075.66688,72130.55301,72130.55301,-229,0,64291.53656,-229,12.19292129,73097.76703,-1.323178612,65292.31329,10.47326916
13-03-2024,72130.55301,72130.55301,71467.1735,71467.1735,72130.55301,-228,-0.919692802,64291.53656,-228,11.16109107,73097.76703,-2.230702236,65292.31329,9.457254458
14-03-2024,71467.1735,73097.76703,71467.1735,73097.76703,73097.76703,-227,0,66145.91928,-227,10.5098664,73097.76703,0,65292.31329,11.95462887
15-03-2024,73097.76703,73097.76703,71420.0318,71420.0318,73097.76703,-226,-2.295193538,66944.87639,-226,6.684836319,71420.0318,0,62132.51738,14.94791265
16-03-2024,71420.0318,71420.0318,69497.76319,69497.76319,73097.76703,-225,-4.924916287,68315.25192,-225,1.730962324,69497.76319,0,62132.51738,11.85409207
17-03-2024,69497.76319,69497.76319,65292.31329,65292.31329,73097.76703,-224,-10.67810147,65292.31329,-224,0,68425.41566,-4.578857626,62132.51738,5.085575232
18-03-2024,65292.31329,68425.41566,65292.31329,68425.41566,73097.76703,-223,-6.391920794,65292.31329,-223,4.798577666,68425.41566,0,62132.51738,10.12818817
19-03-2024,68425.41566,68425.41566,67708.94361,67708.94361,73097.76703,-222,-7.372076654,65292.31329,-222,3.70124781,67819.05571,-0.162361591,62132.51738,8.975052784
20-03-2024,67708.94361,67708.94361,62132.51738,62132.51738,73097.76703,-221,-15.00079974,62132.51738,-221,0,67819.05571,-8.384868042,62132.51738,0
21-03-2024,62132.51738,67819.05571,62132.51738,67819.05571,73097.76703,-220,-7.221439908,62132.51738,-220,9.152274152,69938.9453,-3.031057426,63509.04497,6.786451826
22-03-2024,67819.05571,67819.05571,65535.97845,65535.97845,71420.0318,-219,-8.238659665,62132.51738,-219,5.477745331,70082.05122,-6.486786127,63509.04497,3.191566625
23-03-2024,65535.97845,65535.97845,63509.04497,63509.04497,69497.76319,-218,-8.617138096,62132.51738,-218,2.215470489,70082.05122,-9.379015232,63509.04497,0
24-03-2024,63509.04497,64285.80279,63509.04497,64285.80279,68425.41566,-217,-6.049817638,62132.51738,-217,3.465633622,70710.19535,-9.085525115,64285.80279,0
25-03-2024,64285.80279,67310.98327,64285.80279,67310.98327,68425.41566,-216,-1.628681942,62132.51738,-216,8.334550261,70710.19535,-4.807244647,67310.98327,0
26-03-2024,67310.98327,69938.9453,67310.98327,69938.9453,69938.9453,-215,0,62132.51738,-215,12.56415844,70710.19535,-1.090719723,69435.7504,0.724691382
27-03-2024,69938.9453,70082.05122,69938.9453,70082.05122,70082.05122,-214,0,62132.51738,-214,12.79448215,71246.95144,-1.635017629,69435.7504,0.930789713
28-03-2024,70082.05122,70082.05122,69435.7504,69435.7504,70082.05122,-213,-0.922205915,63509.04497,-213,9.332065127,71246.95144,-2.542145314,69435.7504,0
29-03-2024,69435.7504,70710.19535,69435.7504,70710.19535,70710.19535,-212,0,63509.04497,-212,11.3387792,71246.95144,-0.753374118,65440.41923,8.052784785
30-03-2024,70710.19535,70710.19535,69919.05546,69919.05546,70710.19535,-211,-1.118848397,63509.04497,-211,10.09306706,71246.95144,-1.863793401,65440.41923,6.843837935
31-03-2024,69919.05546,69919.05546,69702.30875,69702.30875,70710.19535,-210,-1.425376632,64285.80279,-210,8.425664332,71246.95144,-2.168012332,65440.41923,6.51262564
01-04-2024,69702.30875,71246.95144,69702.30875,71246.95144,71246.95144,-209,0,67310.98327,-209,5.847438236,71246.95144,0,65440.41923,8.873005833
02-04-2024,71246.95144,71246.95144,69785.92504,69785.92504,71246.95144,-208,-2.050651113,69435.7504,-208,0.504314612,69785.92504,0,65440.41923,6.640400327
03-04-2024,69785.92504,69785.92504,65440.41923,65440.41923,71246.95144,-207,-8.149867605,65440.41923,-207,0,69401.97361,-5.70812929,65440.41923,0
04-04-2024,65440.41923,66123.93854,65440.41923,66123.93854,71246.95144,-206,-7.190501205,65440.41923,-206,1.044491037,71624.18486,-7.679314374,66123.93854,0
05-04-2024,66123.93854,68542.17715,66123.93854,68542.17715,71246.95144,-205,-3.796336872,65440.41923,-205,4.739819768,71624.18486,-4.303026576,67978.61023,0.829035658
06-04-2024,68542.17715,68542.17715,67978.61023,67978.61023,71246.95144,-204,-4.587341831,65440.41923,-204,3.878628894,71624.18486,-5.089865435,67978.61023,0
07-04-2024,67978.61023,69000.64992,67978.61023,69000.64992,71246.95144,-203,-3.152838793,65440.41923,-203,5.440415469,71624.18486,-3.662917702,69000.64992,0
